step_id,recipe_id,step_number,step_text
65730,11959,4,蒸し器から取り出し、ペーパータオルで包んで粗熱を取ります。
65731,11959,5,たれ用の調味料を合わせ、長ねぎとしょうがを入れて混ぜ合わせます。
65732,11959,6,きゅうりはマッチ棒より太めの細切りにして、器に盛り付けます。
65733,11959,7,鶏むね肉は包丁で繊維に沿って細切りにして、きゅうりの上にのせます。ごまだれをかけて出来上がりです。
65864,11967,1,玉ねぎは幅２cmのくし形切りに、にんじんは厚さ１cmのいちょう切りにします。じゃがいもは大きめの一口大に切ります。
65865,11967,2,しょうがとにんにくはみじん切りにします。
65863,11967,3,豚肉は一口大に切ります。
65866,11967,4,鍋にしょうがとにんにく、カレー粉、ごま油を入れて中火にかけ、焦がさないように炒めます。
65867,11967,5,豚肉と玉ねぎを加え、玉ねぎが少し透き通るまで炒めます。
65868,11967,6,にんじんとローリエを加えてさっと炒め、塩とこしょう、酒、水を加えて煮立たせ、アクを取ります。
65869,11967,7,じゃがいもを加えます。ふつふつとしてきたら蓋をして、弱火で約10分煮ます。
65870,11967,8,火を消し、カレールウを加えて溶かします。再び弱火にかけ、ウスターソースとしょうゆを加え、さらに10分煮ます。
65871,11967,9,器にご飯を盛り、カレーをかけます。
65844,11990,1,しょうがはきれいなものなら皮をむかずに、1mmくらいの薄切りにします。さばは皮目に切り込みを入れます。
65845,11990,2,鍋に煮汁の材料を入れて、強火で煮立てます。
65846,11990,3,さばを１切れずつ皮目を上にして並べ入れ、しょうがを散らします。
65847,11990,4,皮目に煮汁をかけ、さばの表面に火が通ったら、落とし蓋をして中火で10分煮ます。
65848,11990,5,みそを煮汁で溶いて加えます。さばに煮汁をかけながら、２〜３分煮たら出来上がりです。
66301,12021,1,キャベツは２cm四方に、小ねぎは小口切りにします。豚肉は３cmの長さに切ります。
66302,12021,2,長いもは皮をむいてすりおろし、だし汁、卵、酒、しょうゆと合わせて泡立て器やフォークなどでよく混ぜます。
66303,12021,3,ふるった薄力粉を加えて混ぜ合わせ、なめらかになったら、キャベツ、小ねぎを加えてさっと混ぜ合わせます。
66304,12021,4,フライパンを中火で熱してごま油をひき、３を入れて15cmほどの丸型に整えます。
66305,12021,5,表面に豚肉をのせ、焼き目がつくまで約４分焼きます。
66306,12021,6,裏返して弱火にし、約８分焼きます。器に盛り、ソース、青海苔、かつお節をのせて出来上がりです。
66187,12046,1,鮭にレモン汁と塩、こしょうを振り、10分ほどおきます。
66188,12046,2,バットにAを入れて混ぜ合わせ、平らにならします。
66189,12046,3,鮭の水分をペーパータオルで拭き取り、両面にマヨネーズを塗ります。２のバットに入れて全体にパン粉をつけます。
66191,12046,4,フライパンにオリーブ油を弱めの中火で熱し、３の鮭を皮目を下にして焼きます。
66192,12046,5,焼き色が付いたら裏返し、３〜５分焼きます。※火の通りが心配な場合は蓋をします。
